N,P,AVERAGE CONNECTIVITY
1,0.1,0.0
1,0.2,0.0
1,0.30000000000000004,0.0
1,0.4,0.0
1,0.5,0.0
1,0.6000000000000001,0.0
1,0.7000000000000001,0.0
1,0.8,0.0
1,0.9,0.0
1,1.0,0.0
2,0.1,0.0
2,0.2,0.0
2,0.30000000000000004,0.0
2,0.4,0.0
2,0.5,0.0
2,0.6000000000000001,0.0
2,0.7000000000000001,0.0
2,0.8,0.0
2,0.9,0.0
2,1.0,0.0
3,0.1,0.0
3,0.2,0.0
3,0.30000000000000004,0.0
3,0.4,0.0
3,0.5,1.0
3,0.6000000000000001,0.0
3,0.7000000000000001,0.0
3,0.8,1.0
3,0.9,1.0
3,1.0,1.0
4,0.1,0.0
4,0.2,0.0
4,0.30000000000000004,0.0
4,0.4,0.0
4,0.5,0.0
4,0.6000000000000001,0.0
4,0.7000000000000001,0.8333333333333333
4,0.8,0.8333333333333333
4,0.9,0.8333333333333333
4,1.0,1.0
5,0.1,0.0
5,0.2,0.0
5,0.30000000000000004,0.0
5,0.4,0.3333333333333333
5,0.5,0.0
5,0.6000000000000001,0.8666666666666666
5,0.7000000000000001,0.8666666666666666
5,0.8,0.9
5,0.9,1.0
5,1.0,1.0
6,0.1,0.0
6,0.2,0.0
6,0.30000000000000004,0.38888888888888884
6,0.4,0.0
6,0.5,0.47222222222222227
6,0.6000000000000001,0.8222222222222223
6,0.7000000000000001,0.9333333333333332
6,0.8,0.6666666666666666
6,0.9,0.9333333333333332
6,1.0,1.0
7,0.1,0.0
7,0.2,0.0
7,0.30000000000000004,0.2857142857142857
7,0.4,0.3095238095238095
7,0.5,0.7047619047619047
7,0.6000000000000001,0.8428571428571427
7,0.7000000000000001,0.7904761904761904
7,0.8,0.7523809523809524
7,0.9,0.9238095238095239
7,1.0,1.0
8,0.1,0.0
8,0.2,0.0
8,0.30000000000000004,0.0
8,0.4,0.275
8,0.5,0.0
8,0.6000000000000001,0.5375
8,0.7000000000000001,0.855952380952381
8,0.8,0.7851190476190476
8,0.9,0.8642857142857143
8,1.0,1.0
9,0.1,0.0
9,0.2,0.0
9,0.30000000000000004,0.2592592592592593
9,0.4,0.44814814814814813
9,0.5,0.5788359788359787
9,0.6000000000000001,0.41481481481481475
9,0.7000000000000001,0.8026455026455026
